Ordem,NIF ,Nome ,E-mail,URL 
76,502773073,"CM - SOCIEDADE DE MEDIAÇÃO DE SEGUROS, LDA",franciscosilva.lopes@agentegeral.ageas.pt,
77,508818273,"F.LISBOA - MEDIAÇÃO DE SEGUROS, LDA",,
78,503184160,"PAULOSEGUROS - SOCIEDADE MEDIADORA, LDA",geral@pauloseguros.pt,www.pauloseguros.pt
79,509682685,"SOSEL II - MEDIAÇÃO DE SEGUROS, UNIPESSOAL, LDA",carlos.silva@sosel.pt,www.sosel.pt
80,501375635,"VIS A VIS - MEDIAÇÃO DE SEGUROS, LDA",visavis@visavis.pt,www.visavis.pt
81,509146139,"UNIWAY - MEDIAÇÃO DE SEGUROS, LDA",geral@uniway.pt,www.uniway.pt
82,513591460,"FERNANDO VICENTE - MEDIAÇÃO DE SEGUROS, LDA",geral@fvseguros.pt,www.fvseguros.pt
83,508480612,"SEGURSAL, LDA",geral@ribeiroseguros.pt,www.ribeiroseguros.pt
84,503005851,"SÃO VICENTE SEGUROS, S.A.",geral@saoseguros.pt,www.saovicenteseguros.pt
85,500029369,"ART - CORRETORES SEGUROS, S.A.",info@artnet.pt,www.artnet.pt
86,504309633,"PLC - CORRETORES DE SEGUROS, S.A.",geral@plccorretores.pt,www.plcseguros.pt
87,514027088,"FIRSTAGILLE - MEDIAÇÃO DE SEGUROS, LDA",abarros@agille.pt,
88,507306600,"G. M. G. MEDIAÇÃO DE SEGUROS, LDA",geral@gmgseguros.pt,www.gmgseguros.pt
89,980220718,CENTRO DE SEGUROS Y SERVICIOS ECI AGENCIA DE SEGUROS VINCULADA SA (SUCURSAL EM PORTUGAL),mariluzdelmonte@cess.elcorteingles.com,seguros.elcorteingles.pt
90,510364101,"AS SEGUROS - MEDIAÇÃO DE SEGUROS, LDA",geral@asseguros.pt,www.asseguros.pt
91,509719279,"FILIPES - MEDIAÇÃO DE SEGUROS, LDA",martins@filipeseguros.pt,
92,502661100,"CSB - MEDIAÇÃO DE SEGUROS, S.A.",secretariado@csb-seguros.com,www.csb-seguros.com
93,508917492,"SIMSEGUROS - SOCIEDADE MEDIAÇÃO SEGUROS, LDA",geral@simseguros.pt,www.simseguros.pt
94,514977841,"ILHA VERDE - GESTÃO DE SEGUROS E CRÉDITOS, LDA",arego@ilhaverde.com,www.ilhaverde.com
95,510140734,"IN STATUS - MEDIAÇÃO DE SEGUROS, LDA",geral@in-status.pt,www.in-status.pt
96,500059934,"CEGREL - CORRETORES DE SEGUROS, LDA",cegrel@cegrel.pt,www.cegrel.pt
97,506938549,"JOSÉ MANUEL MARQUES TEIXEIRA - MEDIAÇÃO SEGUROS, UNIPESSOAL, LDA",,
98,505148250,"RICARDO & AURORA - MEDIAÇÃO DE SEGUROS, LDA",ricardoeaurora@gmail.com,
99,507468317,"PACIFIC INSURANCE - MEDIAÇÃO DE SEGUROS, LDA",,www.pacificinsurance.pt
100,505969270,"EPV SEGUROS - MEDIAÇÃO DE SEGUROS, LDA",francisco.zambujo@agentegeral.ageas.pt,
101,509352839,"A. OCTÁVIO - MEDIAÇÃO DE SEGUROS, LDA",geral@aoctavioseguros.com,www.aoctavioseguros.pt
102,509380220,"DMSB - MEDIAÇÃO DE SEGUROS, LDA",geral@dmsbroker.pt,www.dmsbroker.pt
103,513387439,"SUIL PARK - SOCIEDADE MEDIAÇÃO SEGUROS, LDA",,
104,508860547,"V PRIVATE - MEDIAÇÃO DE SEGUROS, LDA",geral@vprivate.pt,www.vprivate.pt
105,501274766,"CBK LISBOA - MEDIADORES DE SEGUROS, LDA",seguros@cbklisboa.pt,www.cbk.pt
106,514525819,"ACÇÃO & RIGOR, SOCIEDADE MEDIADORA DE SEGUROS, LDA",geral@axionseguros.com,www.axionseguros.com
107,514501790,"GO FAR INSURANCE - SOLUÇÕES E SERVIÇOS PARA PROTECÇÃO DA SAÚDE, MEDIAÇÃO DE SEGUROS, S.A.",,
108,500905606,"SEGUITEX - CORRETORES DE SEGUROS, LDA",geral@seguitex.pt,www.seguitex.pt
109,508842131,"DOURADO'S - GESTÃO E MEDIAÇÃO DE SEGUROS, LDA",info@dourados.pt,www.dourados.pt
110,508386187,"ASSURGEST - MEDIAÇÃO DE SEGUROS, UNIPESSOAL, LDA",seguros@assurgest.pt,www.assurgest.pt
111,507152506,"O MEU AGENTE - CONSULTOR DE SEGUROS, LDA",alvaroferraz@gmail.com,
112,516255967,"MARTINHO, BATISTA & ALMEIDA - SOCIEDADE DE MEDIAÇÃO DE SEGUROS, LDA",,
113,509900470,"JUSTSEG - CONSULTORES SEGUROS, LDA",pedro.costa@justseg.com,
114,500845093,"AOP - CORRETOR DE SEGUROS, LDA",geral@amandioopinto.pt,www.amandioopinto.pt
115,515363618,"PÓVOASEG - MEDIAÇÃO DE SEGUROS, LDA",geral@povoaseg.pt,
116,504591266,"TEAMSEG - MEDIAÇÃO DE SEGUROS, LDA",ruisantos.msjorge@gmail.com,
117,509428711,"GOLDNAP - MEDIAÇÃO DE SEGUROS, LDA",,
118,513212841,"MFO - MEDIAÇÃO DE SEGUROS, LDA",geral@mfoseguros.eu,www.mfoseguros.pt
119,514844132,"MDS LINK SOLUTIONS, LDA",,www.mdslink.com
120,500094900,"NEO - MEDIAÇÃO DE SEGUROS, LDA",info@emilioloureiro.pt,
121,513122753,"FERNANDO HORTA E COSTA - SOCIEDADE DE MEDIAÇÃO DE SEGUROS, LDA",comercial@fhcseguros.pt,www.fhcseguros.pt
122,514785870,"MODERADO E ADEQUADO - MEDIAÇÃO DE SEGUROS, LDA",sandra.verissimo@moderadoseguros.com,
123,506179699,"ZEFERINO BARBOSA - MEDIAÇÃO DE SEGUROS, LDA",jb@agenciacontinental.com,
124,514281219,"LIBELINHA D'ÊXITO - MEDIAÇÃO DE SEGUROS, LDA",cristina.jesus@cjseguros.pt,cjseguros.pt
125,507165888,"SEGUROS 24 - MEDIADORES DE SEGUROS, LDA",geral@seguros24.pt,www.seguros24.pt
126,505278090,"VALDEMAR BARBEIRO - MEDIAÇÃO DE SEGUROS, LDA",geral@vbmseguros.pt,
127,500805040,"RAÚL CARVALHO, LDA",mail@raulcarvalho.pt,www.raulcarvalho.pt
128,508484103,"EURICO NUNES - MEDIAÇÃO DE SEGUROS, LDA",euriconunes.ib@sapo.pt,
129,508908329,"SOLUÇÕES PARTILHADAS - EMPREENDIMENTOS, S.A.",,
130,513175733,"OPTIRISK - MEDIAÇÃO DE SEGUROS, LDA",info@optirisk.pt,www.optirisk.pt
131,506098095,"AVM - MEDIAÇÃO DE SEGUROS, LDA",geral@avm.pt,www.avm.pt
132,506527840,"SENHORINHO - GESTÃO DE CRÉDITOS, UNIPESSOAL, LDA",seguros@senhorinhoseguros.com,www.senhorinhoseguros.com
133,513184031,"CPC - CONSULTORIA, LDA",cristinapereiradacosta@gmail.com,
134,509786987,"TRIUNF - MEDIAÇÃO SEGUROS, LDA",geral@triunf.pt,www.triunf.pt
135,516105663,"RAF4LIFE, LDA",ricardo.freitas@raf4life.pt,
136,503796140,"TERRA - MEDIAÇÃO DE SEGUROS, LDA",geral@terraseguros.pt,www.terraseguros.pt
137,500207054,"OLIVEIRA, MARTINS E COMPANHIA, S.A.",geral@om-seguros.com,www.om-seguros.com
138,507701224,OURISEGUR - MEDIAÇÃO DE SEGUROS LDA,ourisegur@agentegeral.ageas.pt,www.ourisegur.pt
139,503305820,"A SERRANA - MEDIADORA DE SEGUROS, LDA",geral@serranaseguros.com,www.serranaseguros.com
140,509400094,"MEDIADORA DE SEGUROS - RODRIGUES, LDA",geral@segurosrodrigues.pt,www.segurosrodrigues.pt
141,508807220,"POWER OF INSURANCE, LDA",,
142,510486541,"NG - CONSULTADORIA EM SEGUROS, LDA",geral.lsd@nuno-goncalves.pt,www.nuno-goncalves.pt
143,508497515,"PJM SEGURIS, LDA",geral@seguris.pt,www.seguris.pt
144,513886508,"FENÓMENO SECRETO, UNIPESSOAL, LDA",jalves.seguros@gmail.com,
145,508986311,"ROGÉRIO SILVA - MEDIAÇÃO DE SEGUROS, LDA",arogeriosilva@mail.telepac.pt,
146,510706851,"SMO - MEDIAÇÃO DE SEGUROS, SOCIEDADE UNIPESSOAL, LDA",miguel.oliveira@smo-mediacao.pt,www.smo-mediacao.pt
147,511161689,"LINHA SEGURA - MEDIAÇÃO DE SEGUROS, LDA",,www.linhasegura.pt
148,510144527,"RIASEGUR, UNIPESSOAL, LDA",jose.araujo@riasegur.pt,www.riasegur.pt
149,502371820,"JOSÉ MATA CONSULTORES DE SEGUROS, LDA",seguros@josemata.pt,www.josemata.pt
150,509725538,"AGÊNCIA CONSELHEIRO - MEDIAÇÃO DE SEGUROS, LDA",ged@gedinsurance.com,gedinsurance.com
151,516396838,"ADVANTAGE - DISTRIBUIÇÃO DE SEGUROS, LDA",,
152,510087000,"SABSEG DESPORTO SEGURO, LDA",geral@sabseg.pt,www.sabseg.com
153,502569581,"IPERSEG - CORRETORES DE SEGUROS, LDA",geral@iperseg.pt,www.iperseg.pt
154,510255540,"CARLOS RAMOS MARQUES - MEDIAÇÃO DE SEGUROS, LDA",carlosmarques.ib@sapo.pt,
155,506999882,"APOLIS - CONSULTORES DE SEGUROS, LDA",geral@apolis.pt,www.apolis.pt
156,509419640,"LUÍS ALBERTO DA COSTA SANTOS, LDA",luisalbertosantos@lsseguros.pt,
157,506182754,"LUÍS PIRES - SOCIEDADE DE MEDIAÇÃO DE SEGUROS, LDA",lpires@luispires.com,www.luispires.com
158,504390554,"SEGURAZ - MEDIAÇÃO DE SEGUROS, LDA",luis.matos@aqs-seguros.pt,www.seguraz.com
159,506545245,"SEGURE-SE EM GOUVEIA - MEDIAÇÃO SEGUROS, LDA",geral@segure-se.pt,www.segurosgouveia.pt
160,511283113,"NICOLAU GÓIS, LDA",nicolau.gois@gmail.com,
161,505734958,"PEDRO CUSTÓDIO - SOCIEDADE MEDIADORA DE SEGUROS, LDA",geral@pedrocustodioseguros.pt,www.pedrocustodioseguros.pt
162,509209270,"HUGO BERNARDINO - SOCIEDADE DE MEDIAÇÃO DE SEGUROS, LDA",,www.tranquilidade.pt
163,510209670,"MÉDIA MAIS - MEDIAÇÃO DE SEGUROS, LDA",,www.mediamais.pt
164,509442072,"ADALBERTO - MEDIAÇÃO DE SEGUROS, LDA",adalbertoseguros@sapo.pt,
165,506970841,"J.N.S. - SOCIEDADE DE MEDIAÇÃO DE SEGUROS, LDA",geralseguros@jns.pt,www.jns.pt
166,505205700,"ATHENAS - MEDIAÇÃO DE SEGUROS, LDA",jpdiniz@athenas.pt,www.athenas.pt
167,510054994,"VALOREM - MEDIAÇÃO DE SEGUROS, LDA",geral@valorem.pt,www.valorem.pt
168,502961988,"SAMPAIO - MEDIAÇÃO DE SEGUROS, LDA",abertura.sinistros.patrimoniais@ageas.pt,www.ageas.pt
169,516059432,"NOS - MEDIAÇÃO DE SEGUROS, S.A.",,
170,508881315,"FELICIANO & SANTOS - CONSULTORES, LDA",samuel.feliciano@solarsegura.com,
171,504671731,"OBIMEDIA - SOCIEDADE MEDIADORA DE SEGUROS, LDA",obimedia@obicool.pt,www.obimedia.org
172,503086347,"AGÊNCIA DE SEGUROS MAIAS, LDA",geral@grupomaia.pt,
173,509801781,"GRUMESE GRUPO - CONSULTORIA E MEDIAÇÃO DE SEGUROS, LDA",geral@grumese.pt,www.grumese.pt
174,505898748,"PEDRO BORRALHO - MEDIAÇÃO DE SEGUROS, LDA",pedro.borralho@pbseguros.com,www.pbseguros.com
175,510523609,"DS CONSULTORES, LDA",ds.consultores@agentegeral.ageas.pt,www.ageas.pt
176,505621339,"DUOSEG - MEDIAÇÃO DE SEGUROS, LDA",geral@duoseg.com,www.duoseg.com
177,501795103,"METASEGUROS - SOCIEDADE MEDIADORA DE SEGUROS, LDA",metaseguros@metaseguros.pt,www.metaseguros.pt
178,506921360,"AURÉLIO RODRIGUES - MEDIAÇÃO DE SEGUROS, LDA",sergio.rodrigues@aurelioseguros.pt,
179,504602209,"ELO FORTE - MEDIAÇÃO DE SEGUROS, LDA",geral@eloforte.pt,eloforte.pt
180,513058508,"LUÍS GOMES RODRIGUES - MEDIAÇÃO DE SEGUROS, LDA",,
181,504413600,"SIRIUS - MEDIAÇÃO DE SEGUROS, LDA",lojalvalade@siriusseguros.pt,
182,508497345,"TROCADO SEGUROS - MEDIAÇÃO DE SEGUROS, LDA",guia.trocado@trocadoseguros.pt,www.trocadoseguros.pt
183,513211810,"VICTASEG - MEDIAÇÃO DE SEGUROS, LDA",,www.victaseguros.com
184,505396564,"GESTÃO ACTIVA - MEDIADORA DE SEGUROS, LDA",geral@gestaoactiva.pt,www.gestaoactiva.pt
185,509747191,"SAFENOR MEDIAÇÃO DE SEGUROS, LDA",geral@safenor.pt,www.safenor.pt
186,513306595,"LSETE - MEDIAÇÃO DE SEGUROS, LDA",mariacruz@l7seguros.pt,
187,510436552,"J. MARIEIRO, LDA",seguros@marieiroplus.pt,www.marieiroseguros.pt
188,500914850,"ARCHER & CA. - CORRETORES DE SEGUROS, LDA",infoporto@villasboas.pt,www.archer.pt
189,510762034,"AGOSTINHO CÉSAR - MEDIAÇÃO DE SEGUROS, LDA",agostinho@moinhosconta.com,
190,514712864,"CONDIÇÃO BÁSICA - MEDIAÇÃO DE SEGUROS, LDA",geral@tranquilidadecascais.pt,www.tranquilidade.pt
191,506948552,"C.M.S. - MEDIAÇÃO DE SEGUROS, LDA",jcoelho@coelhosseguros.com,
192,509112056,"LAÇOS SEGUROS - MEDIAÇÃO DE SEGUROS E PRESTAÇÃO DE SERVIÇOS, LDA",geral@lacosseguros.com,www.lacosseguros.com
193,506697770,"NACSEGUR - MEDIAÇÃO DE SEGUROS, LDA",geral@nacsegur.pt,www.nacsegur.pt
194,508709776,"MSI - MEDIAÇÃO DE SEGUROS INDUSTRIAIS, LDA",geral@msi-seguros.pt,www.msi-seguros.pt
195,515879576,"COMPARADOR.PT, LDA",geral@comparador.pt,www.comparador.pt
196,507133250,"MMC - SEGUROS - SOCIEDADE DE MEDIAÇÃO, LDA",,
197,505663384,"PINHAL - MEDIAÇÃO DE SEGUROS, LDA",pinhal.seguros@gmail.com,www.pinhalseguros.pt
198,505991888,"A.J.T. - SOCIEDADE DE MEDIAÇÃO DE SEGUROS, LDA",geral@ajtseguros.pt,ajtseguros.allianz.pt
199,503896080,"ENGRÁCIAS - MEDIAÇÃO DE SEGUROS, LDA",geral@engracias.pt,www.engracias.pt
200,510029191,"HENRIQUE SILVA - MEDIAÇÃO DE SEGUROS, LDA",henriquemesilva@gmail.com,
201,501314962,"ILÍDIO MAIA CASAIS - CORRETORES DE SEGUROS, UNIPESSOAL, LDA",geral@imcseguros.pt,www.imcseguros.pt
202,507346882,"BERVID - SOCIEDADE MEDIAÇÃO DE SEGUROS, LDA",bernardofigueiredo@bervid.pt,
203,507471296,"LIFE - LICÍNIO & FERREIRA - MEDIAÇÃO DE SEGUROS, LDA",life.licinio@gmail.com,www.life-seguros.com
204,507109678,"JOÃO CARLOS LEITE - MEDIAÇÃO SEGUROS, LDA",seguros@jclconsultores.pt,www.jclconsultores.pt
205,505037432,"OPINATUS - MEDIAÇÃO DE SEGUROS, UNIPESSOAL, LDA",julio.martins@opinatus.com,www.opinatus.com
206,510828884,"BRUNO CARRADA - MEDIAÇÃO DE SEGUROS, UNIPESSOAL, LDA",bruno.goncalves@parceiros.tranquilidade.pt,www.brunocarrada.pt
207,503010480,"VIDAUL MEDIAÇÃO SEGUROS, LDA",geral@vidaulseguros.pt,www.vidaulseguros.pt
208,510111882,"OF SEGUROS - MEDIAÇÃO DE SEGUROS, LDA",geral@ofseguros.pt,www.ofseguros.pt
209,516754220,"DESAFIO TRIGUEIRO, UNIPESSOAL, LDA",,
210,501344446,"INAVESTE - MEDIAÇÃO DE SEGUROS, UNIPESSOAL, LDA",,
211,510322700,"J.MIRANDA - MEDIAÇÃO DE SEGUROS, LDA",josemanuel.miranda@agentegeral.ageas.pt,
212,506903672,"JOSÉ MANAÇA - MEDIAÇÃO DE SEGUROS, LDA",,www.josemanacaseguros.com
213,504610171,"MACROSOLUÇÕES - MEDIAÇÃO DE SEGUROS, LDA",,
214,510255736,"BROKINSURANCE, UNIPESSOAL, LDA",geral@brokin.pt,brokin.pt
215,514267046,"FILIPE FARIA - AGÊNCIA, UNIPESSOAL, LDA",futuris@sapo.pt,www.filipefaria.pt
216,504514202,"QUADRIUM - SOCIEDADE DE MEDIAÇÃO DE SEGUROS, LDA",geral@quadriumseguros.pt,www.quadriumseguros.pt
217,503151688,"SAROS - SOCIEDADE DE MEDIAÇÃO DE SEGUROS, LDA",jrlima@saros-seguros.pt,
218,508557534,"BLOCO SEGURO - SOCIEDADE DE MEDIAÇÃO DE SEGUROS, LDA",sergio.cardoso@parceiros.tranquilidade.pt,
219,516056719,"UNIPEOPLE INSURANCE BROKERS, S.A.",,www.unipeople.pt
220,513782753,"ANDRÉ RIBEIRO LOPES, LDA",andre.lopes@oficialseguros.pt,www.oficialseguros.pt
221,504614908,"M.S.N. - MEDIADORES DE SEGUROS DO NORTE, LDA",famachado@msegurosnorte.pt,
222,505776626,"BPS - MEDIAÇÃO DE SEGUROS, LDA",bps_seguros@hotmail.com,
223,504886479,"AGECASCAIS - MEDIAÇÃO DE SEGUROS, LDA",josecarlosr.santos@agentegeral.ageas.pt,
224,506916553,"AMBRÓSIO SILVA - MEDIAÇÃO DE SEGUROS, LDA",,
225,509833667,"DECIDAQUI - SOCIEDADE DE MEDIAÇÃO DE SEGUROS, LDA",,www.decidaquiseguros.com
226,513457194,"GAAJ SEGUROS - MEDIAÇÃO DE SEGUROS, LDA",,
227,507933613,"SERSEGURO - CORRETOR DE SEGUROS, UNIPESSOAL, LDA",lisboa@serseguro.pt,www.serseguro.pt
228,501922822,"PLANACTIVO - MEDIAÇÃO DE SEGUROS, LDA",,
229,509863892,"PEDRO TEIXEIRA CUNHA - MEDIAÇÃO DE SEGUROS, LDA",pedroteixeiracunha@ptcseguros.com,
230,511152981,"FAVORÁVEL - MEDIAÇÃO SEGUROS, LDA",,
231,506025969,"AGE - MEDIAÇÃO DE SEGUROS, LDA",sintra@ageseguros.pt,
232,503184888,"MOVISEGUR - SOCIEDADE MEDIAÇÃO SEGUROS, LDA",movisegur@movisegur.pt,
233,504916734,"MEDICÁVADO, LDA",geral@medicavado.pt,www.medicavado.pt
234,510879411,"SVPM - MEDIAÇÃO DE SEGUROS, LDA",carlos.mr.pereira@hotmail.com,www.svpmseguros.pt
235,504968262,"SICOMÉDIA - SOCIEDADE DE MEDIAÇÃO DE SEGUROS, LDA",henrique.falcao@agentegeral.ageas.pt,
236,500364907,"J.LOUREIRO, LDA",geral@jloureiro.com.pt,
237,512109680,"CARLOS ARRUDA - SOCIEDADE MEDIAÇÃO DE SEGUROS, LDA",carlos@carlosarruda.com,www.carlosarrudaseguros.pt
238,508593409,"MASTER FORUM - SOCIEDADE DE MEDIAÇÃO DE SEGUROS, LDA",geral@masterseguros.pt,www.masterseguros.pt
